Metrics/EpRet,Metrics/EpRet/Min,Metrics/EpRet/Max,Metrics/EpRet/Std,Metrics/EpCost,Metrics/EpCost/Min,Metrics/EpCost/Max,Metrics/EpCost/Std,Eval/EpRet,Eval/EpCost,Train/Epoch,Train/TotalSteps,Loss/Loss_reward_critic,Loss/Loss_actor,Misc/Reward_critic_norm,Misc/Entropy,Misc/Ratio,Time/Total,Time/FPS
-23.621809005737305,-23.621809005737305,-23.621809005737305,0.0,177.0500030517578,177.0500030517578,177.0500030517578,0.0,0.0,0.0,124,10000,0.6045783281326294,-0.005614974126219608,2.3058469772338865,0.4105193763971329,1.0394948840141296,72.73112106323242,137
19.26173973083496,19.26173973083496,19.26173973083496,0.0,31.799999237060547,31.799999237060547,31.799999237060547,0.0,0.0,0.0,249,20000,0.24716129004955292,-0.005878295907750441,1.0947251230478288,0.40985816717147827,1.046245539188385,144.08630228042603,138
-11.026498794555664,-11.026498794555664,-11.026498794555664,0.0,184.39999389648438,184.39999389648438,184.39999389648438,0.0,0.0,0.0,374,30000,0.6449353337287903,-0.0117178856395185,1.9902185440063476,0.40898717641830445,1.0453921675682067,215.07855033874512,139
-18.914592742919922,-18.914592742919922,-18.914592742919922,0.0,184.85000610351562,184.85000610351562,184.85000610351562,0.0,0.0,0.0,499,40000,0.036996199563145635,-0.0069277094304560196,0.7469286978244781,0.40916935801506044,1.0457638025283813,285.2624206542969,140
-26.13241195678711,-26.13241195678711,-26.13241195678711,0.0,151.10000610351562,151.10000610351562,151.10000610351562,0.0,0.0,0.0,624,50000,0.3391630709171295,-0.0036938283126801254,1.0409437477588654,0.4084236830472946,1.0515671730041505,357.88061141967773,139
-30.453166961669922,-30.453166961669922,-30.453166961669922,0.0,180.25,180.25,180.25,0.0,0.0,0.0,749,60000,0.08135048449039459,-0.003829055465757847,0.39476728439331055,0.40776640772819517,1.0435483396053313,430.2131471633911,139
-62.85872268676758,-62.85872268676758,-62.85872268676758,0.0,331.3500061035156,331.3500061035156,331.3500061035156,0.0,0.0,0.0,874,70000,0.30788851380348203,-0.010259651951491833,0.9279939830303192,0.4072196900844574,1.047968363761902,503.7292811870575,138
-75.23096466064453,-75.23096466064453,-75.23096466064453,0.0,373.1499938964844,373.1499938964844,373.1499938964844,0.0,0.0,0.0,999,80000,0.6221051335334777,-0.008694133050740049,1.367124229669571,0.4070512890815735,1.0516090154647828,575.0764992237091,139
-76.22380065917969,-76.22380065917969,-76.22380065917969,0.0,378.29998779296875,378.29998779296875,378.29998779296875,0.0,0.0,0.0,1124,90000,0.3551029145717621,-0.0005727048014534831,1.054132205247879,0.4067027628421783,1.046217691898346,652.176155090332,137
-52.28424072265625,-52.28424072265625,-52.28424072265625,0.0,278.1499938964844,278.1499938964844,278.1499938964844,0.0,0.0,0.0,1249,100000,0.39935813546180726,-0.00412608247366677,0.564796867966652,0.4064100354909897,1.043928176164627,725.5232439041138,137
-65.45957946777344,-65.45957946777344,-65.45957946777344,0.0,338.6499938964844,338.6499938964844,338.6499938964844,0.0,0.0,0.0,1374,110000,0.4379030764102936,-0.004582350355922316,1.1748758539557458,0.4066582053899765,1.0455968856811524,798.1012055873871,137
-85.43589782714844,-85.43589782714844,-85.43589782714844,0.0,404.1499938964844,404.1499938964844,404.1499938964844,0.0,0.0,0.0,1499,120000,0.619163715839386,-0.0017897846992127597,1.1432492762804032,0.4060511142015457,1.049153709411621,871.1930239200592,137
-6.001601219177246,-6.001601219177246,-6.001601219177246,0.0,94.30000305175781,94.30000305175781,94.30000305175781,0.0,0.0,0.0,1624,130000,0.06473322212696075,-0.002392091862857626,0.4906113028526306,0.40573742985725403,1.0484660029411317,945.6256461143494,137
-4.365206718444824,-4.365206718444824,-4.365206718444824,0.0,108.6500015258789,108.6500015258789,108.6500015258789,0.0,0.0,0.0,1749,140000,0.027058118581771852,-0.004007805808214471,0.2522322744131088,0.4052947133779526,1.0429286420345307,1022.0102586746216,136
-3.9704113006591797,-3.9704113006591797,-3.9704113006591797,0.0,72.44999694824219,72.44999694824219,72.44999694824219,0.0,0.0,0.0,1874,150000,0.0053048154804855585,-0.003095605149864866,0.11327521242201329,0.40485468208789827,1.046504294872284,1099.504289150238,136
