t	x0	y0	x1	y1	x2	y2
76	-0.812134	0.339106	-0.389965	-0.517983	0.195989	-0.360823
77	-0.824356	0.345460	-0.390971	-0.514981	0.192901	-0.356949
78	-0.836779	0.351723	-0.392022	-0.511932	0.189783	-0.353028
79	-0.849397	0.357883	-0.393119	-0.508838	0.186633	-0.349060
80	-0.862218	0.363902	-0.394264	-0.505700	0.183450	-0.345047
81	-0.875256	0.369725	-0.395456	-0.502520	0.180234	-0.340989
82	-0.888527	0.375289	-0.396696	-0.499300	0.176982	-0.336888
83	-0.902045	0.380536	-0.397986	-0.496041	0.173694	-0.332744
84	-0.915812	0.385417	-0.399325	-0.492744	0.170369	-0.328558
85	-0.929826	0.389895	-0.400714	-0.489413	0.167005	-0.324333
86	-0.944076	0.393946	-0.402155	-0.486047	0.163602	-0.320068
87	-0.958545	0.397557	-0.403646	-0.482651	0.160158	-0.315766
88	-0.973212	0.400729	-0.405190	-0.479225	0.156673	-0.311429
89	-0.988051	0.403468	-0.406786	-0.475772	0.153145	-0.307059
90	-1.003036	0.405789	-0.408434	-0.472295	0.149575	-0.302657
91	-1.018137	0.407711	-0.410134	-0.468796	0.145960	-0.298225
92	-1.033326	0.409259	-0.411888	-0.465278	0.142301	-0.293766
93	-1.048574	0.410459	-0.413695	-0.461743	0.138597	-0.289282
94	-1.063853	0.411343	-0.415556	-0.458195	0.134848	-0.284775
95	-1.079137	0.411942	-0.417469	-0.454634	0.131052	-0.280248
96	-1.094401	0.412288	-0.419436	-0.451064	0.127210	-0.275703
97	-1.109622	0.412416	-0.421456	-0.447488	0.123322	-0.271142
98	-1.124778	0.412358	-0.423529	-0.443907	0.119387	-0.266567
99	-1.139850	0.412147	-0.425655	-0.440324	0.115406	-0.261981
100	-1.154823	0.411814	-0.427833	-0.436740	0.111378	-0.257386
101	-1.169682	0.411389	-0.430064	-0.433159	0.107304	-0.252784
102	-1.184413	0.410900	-0.432347	-0.429581	0.103184	-0.248177
103	-1.199008	0.410372	-0.434681	-0.426009	0.099018	-0.243568
104	-1.213456	0.409830	-0.437066	-0.422443	0.094808	-0.238957
105	-1.227751	0.409294	-0.439502	-0.418886	0.090552	-0.234347
106	-1.241886	0.408784	-0.441988	-0.415339	0.086253	-0.229739
107	-1.255859	0.408317	-0.444523	-0.411803	0.081910	-0.225135
