t	x0	y0	x1	y1	x2	y2
80	1.270971	1.101475	-1.718159	-1.834580	0.620621	1.464141
81	1.288169	1.119619	-1.736027	-1.852066	0.624175	1.488887
82	1.305367	1.137764	-1.753894	-1.869552	0.627730	1.513633
83	1.322565	1.155908	-1.771762	-1.887038	0.631284	1.538379
84	1.339763	1.174053	-1.789629	-1.904524	0.634838	1.563125
85	1.356961	1.192198	-1.807496	-1.922010	0.638393	1.587871
86	1.374159	1.210342	-1.825364	-1.939496	0.641947	1.612617
87	1.391357	1.228487	-1.843231	-1.956982	0.645502	1.637363
88	1.408555	1.246631	-1.861098	-1.974467	0.649056	1.662109
89	1.425753	1.264776	-1.878966	-1.991953	0.652611	1.686855
90	1.442951	1.282921	-1.896833	-2.009439	0.656165	1.711601
91	1.460149	1.301065	-1.914701	-2.026925	0.659719	1.736347
92	1.477347	1.319210	-1.932568	-2.044411	0.663274	1.761093
93	1.494546	1.337354	-1.950435	-2.061897	0.666828	1.785839
94	1.511744	1.355499	-1.968303	-2.079383	0.670383	1.810585
95	1.528942	1.373644	-1.986170	-2.096869	0.673937	1.835331
96	1.546140	1.391788	-2.004038	-2.114355	0.677491	1.860077
97	1.563338	1.409933	-2.021905	-2.131841	0.681046	1.884823
98	1.580536	1.428077	-2.039772	-2.149326	0.684600	1.909569
99	1.597734	1.446222	-2.057640	-2.166812	0.688155	1.934315
100	1.614932	1.464366	-2.075507	-2.184298	0.691709	1.959061
101	1.632130	1.482511	-2.093374	-2.201784	0.695263	1.983808
102	1.649328	1.500656	-2.111242	-2.219270	0.698818	2.008554
103	1.666526	1.518800	-2.129109	-2.236756	0.702372	2.033300
104	1.683724	1.536945	-2.146977	-2.254242	0.705927	2.058046
105	1.700922	1.555089	-2.164844	-2.271728	0.709481	2.082792
106	1.718120	1.573234	-2.182711	-2.289214	0.713035	2.107538
107	1.735319	1.591379	-2.200579	-2.306700	0.716590	2.132284
108	1.752517	1.609523	-2.218446	-2.324185	0.720144	2.157030
109	1.769715	1.627668	-2.236314	-2.341671	0.723699	2.181776
110	1.786913	1.645812	-2.254181	-2.359157	0.727253	2.206522
111	1.804111	1.663957	-2.272048	-2.376643	0.730807	2.231268
112	1.821309	1.682102	-2.289916	-2.394129	0.734362	2.256014
113	1.838507	1.700246	-2.307783	-2.411615	0.737916	2.280760
114	1.855705	1.718391	-2.325650	-2.429101	0.741471	2.305506
115	1.872903	1.736535	-2.343518	-2.446587	0.745025	2.330252
116	1.890101	1.754680	-2.361385	-2.464073	0.748579	2.354998
117	1.907299	1.772825	-2.379253	-2.481559	0.752134	2.379744
118	1.924497	1.790969	-2.397120	-2.499044	0.755688	2.404490
119	1.941695	1.809114	-2.414987	-2.516530	0.759243	2.429236
120	1.958893	1.827258	-2.432855	-2.534016	0.762797	2.453982
121	1.976092	1.845403	-2.450722	-2.551502	0.766352	2.478728
122	1.993290	1.863548	-2.468590	-2.568988	0.769906	2.503474
123	2.010488	1.881692	-2.486457	-2.586474	0.773460	2.528220
124	2.027686	1.899837	-2.504324	-2.603960	0.777015	2.552966
125	2.044884	1.917981	-2.522192	-2.621446	0.780569	2.577712
126	2.062082	1.936126	-2.540059	-2.638932	0.784124	2.602458
127	2.079280	1.954271	-2.557926	-2.656418	0.787678	2.627204
128	2.096478	1.972415	-2.575794	-2.673903	0.791232	2.651950
129	2.113676	1.990560	-2.593661	-2.691389	0.794787	2.676696
130	2.130874	2.008704	-2.611529	-2.708875	0.798341	2.701442
131	2.148072	2.026849	-2.629396	-2.726361	0.801896	2.726189
132	2.165270	2.044994	-2.647263	-2.743847	0.805450	2.750935
133	2.182468	2.063138	-2.665131	-2.761333	0.809004	2.775681
134	2.199666	2.081283	-2.682998	-2.778819	0.812559	2.800427
135	2.216865	2.099427	-2.700865	-2.796305	0.816113	2.825173
136	2.234063	2.117572	-2.718733	-2.813791	0.819668	2.849919
137	2.251261	2.135717	-2.736600	-2.831276	0.823222	2.874665
138	2.268459	2.153861	-2.754468	-2.848762	0.826776	2.899411
139	2.285657	2.172006	-2.772335	-2.866248	0.830331	2.924157
140	2.302855	2.190150	-2.790202	-2.883734	0.833885	2.948903
141	2.320053	2.208295	-2.808070	-2.901220	0.837440	2.973649
142	2.337251	2.226439	-2.825937	-2.918706	0.840994	2.998395
143	2.354449	2.244584	-2.843805	-2.936192	0.844548	3.023141
144	2.371647	2.262729	-2.861672	-2.953678	0.848103	3.047887
145	2.388845	2.280873	-2.879539	-2.971164	0.851657	3.072633
146	2.406043	2.299018	-2.897407	-2.988650	0.855212	3.097379
147	2.423241	2.317162	-2.915274	-3.006135	0.858766	3.122125
148	2.440439	2.335307	-2.933141	-3.023621	0.862320	3.146871
149	2.457638	2.353452	-2.951009	-3.041107	0.865875	3.171617
150	2.474836	2.371596	-2.968876	-3.058593	0.869429	3.196363
151	2.492034	2.389741	-2.986744	-3.076079	0.872984	3.221109
152	2.509232	2.407885	-3.004611	-3.093565	0.876538	3.245855
153	2.526430	2.426030	-3.022478	-3.111051	0.880092	3.270601
154	2.543628	2.444175	-3.040346	-3.128537	0.883647	3.295347
155	2.560826	2.462319	-3.058213	-3.146023	0.887201	3.320093
156	2.578024	2.480464	-3.076081	-3.163509	0.890756	3.344839
157	2.595222	2.498608	-3.093948	-3.180994	0.894310	3.369585
158	2.612420	2.516753	-3.111815	-3.198480	0.897865	3.394331
159	2.629618	2.534898	-3.129683	-3.215966	0.901419	3.419077
160	2.646816	2.553042	-3.147550	-3.233452	0.904973	3.443824
161	2.664014	2.571187	-3.165417	-3.250938	0.908528	3.468570
162	2.681212	2.589331	-3.183285	-3.268424	0.912082	3.493316
163	2.698411	2.607476	-3.201152	-3.285910	0.915637	3.518062
164	2.715609	2.625621	-3.219020	-3.303396	0.919191	3.542808
165	2.732807	2.643765	-3.236887	-3.320882	0.922745	3.567554
166	2.750005	2.661910	-3.254754	-3.338368	0.926300	3.592300
167	2.767203	2.680054	-3.272622	-3.355853	0.929854	3.617046
168	2.784401	2.698199	-3.290489	-3.373339	0.933409	3.641792
169	2.801599	2.716344	-3.308356	-3.390825	0.936963	3.666538
170	2.818797	2.734488	-3.326224	-3.408311	0.940517	3.691284
171	2.835995	2.752633	-3.344091	-3.425797	0.944072	3.716030
172	2.853193	2.770777	-3.361959	-3.443283	0.947626	3.740776
173	2.870391	2.788922	-3.379826	-3.460769	0.951181	3.765522
174	2.887589	2.807067	-3.397693	-3.478255	0.954735	3.790268
175	2.904787	2.825211	-3.415561	-3.495741	0.958289	3.815014
176	2.921985	2.843356	-3.433428	-3.513227	0.961844	3.839760
177	2.939184	2.861500	-3.451296	-3.530712	0.965398	3.864506
178	2.956382	2.879645	-3.469163	-3.548198	0.968953	3.889252
179	2.973580	2.897790	-3.487030	-3.565684	0.972507	3.913998
180	2.990778	2.915934	-3.504898	-3.583170	0.976061	3.938744
181	3.007976	2.934079	-3.522765	-3.600656	0.979616	3.963490
182	3.025174	2.952223	-3.540632	-3.618142	0.983170	3.988236
183	3.042372	2.970368	-3.558500	-3.635628	0.986725	4.012982
184	3.059570	2.988512	-3.576367	-3.653114	0.990279	4.037728
185	3.076768	3.006657	-3.594235	-3.670600	0.993833	4.062474
186	3.093966	3.024802	-3.612102	-3.688085	0.997388	4.087220
187	3.111164	3.042946	-3.629969	-3.705571	1.000942	4.111966
