Metrics/EpRet,Metrics/EpRet/Min,Metrics/EpRet/Max,Metrics/EpRet/Std,Metrics/EpCost,Metrics/EpCost/Min,Metrics/EpCost/Max,Metrics/EpCost/Std,Eval/EpRet,Eval/EpCost,Train/Epoch,Train/TotalSteps,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Misc/Reward_critic_norm,Misc/Cost_critic_norm,Misc/Entropy,Misc/Ratio,Time/Total,Time/FPS
-148.49826049804688,-148.49826049804688,-148.49826049804688,0.0,437.14984130859375,437.14984130859375,437.14984130859375,0.0,0.0,0.0,124,20000,0.11328264247284581,0.6572483726724561,-0.014490146523249953,0.952521354693671,1.9773156944002956,0.41232341888745627,0.9999560569763184,173.09100008010864,115
-197.4322052001953,-197.4322052001953,-197.4322052001953,0.0,397.0997619628906,397.0997619628906,397.0997619628906,0.0,0.0,0.0,249,40000,0.0036875615232624115,0.02197145711568992,-0.02610769157397404,0.1979636749178171,0.3513944356961952,0.4117542569796244,1.0003745613733928,387.06707310676575,103
-62.849876403808594,-62.849876403808594,-62.849876403808594,0.0,283.5167541503906,283.5167541503906,283.5167541503906,0.0,0.0,0.0,374,60000,0.0016962806907996613,0.02075105778020752,-0.009835457260413488,0.10536903273470234,0.2828426597340964,0.4109706928253174,1.0004886887232463,596.4316000938416,100
-43.2271728515625,-43.2271728515625,-43.2271728515625,0.0,185.4664764404297,185.4664764404297,185.4664764404297,0.0,0.0,0.0,499,80000,0.0009470488426246448,0.021571430623650363,-0.0064265271914988945,0.07865708642131648,0.29494834405989384,0.4104904449303945,1.0006959411621095,762.8489961624146,104
-21.852081298828125,-21.852081298828125,-21.852081298828125,0.0,110.5999526977539,110.5999526977539,110.5999526977539,0.0,0.0,0.0,624,100000,0.0019030166799537255,0.019339175536306166,-0.013122320801067013,0.052867477906184894,0.1352575946166083,0.4108483634630839,0.9989412594477336,929.3361210823059,107
-42.02204513549805,-42.02204513549805,-42.02204513549805,0.0,173.5829315185547,173.5829315185547,173.5829315185547,0.0,0.0,0.0,749,120000,0.0015981690926831409,0.033311331529586825,-0.00976968721129582,0.059196553945285266,0.10880752077686678,0.41175860810279846,1.000879882144928,1098.769812822342,109
