Metrics/EpRet,Metrics/EpRet/Min,Metrics/EpRet/Max,Metrics/EpRet/Std,Metrics/EpCost,Metrics/EpCost/Min,Metrics/EpCost/Max,Metrics/EpCost/Std,Eval/EpRet,Eval/EpCost,Train/Epoch,Train/TotalSteps,Loss/Loss_reward_critic,Loss/Loss_actor,Misc/Reward_critic_norm,Misc/Entropy,Misc/Ratio,Time/Total,Time/FPS
-23.621809005737305,-23.621809005737305,-23.621809005737305,0.0,177.0500030517578,177.0500030517578,177.0500030517578,0.0,0.0,0.0,124,10000,0.21490865052342414,-0.00655080920224544,1.2119908041803167,0.4115596587896347,1.0456191165924071,81.4317569732666,122
19.26173973083496,19.26173973083496,19.26173973083496,0.0,31.799999237060547,31.799999237060547,31.799999237060547,0.0,0.0,0.0,249,20000,0.013744256526324898,-0.00643452766525383,0.2596321009451058,0.4099784816980362,1.0454008328437805,163.15012574195862,122
-11.026498794555664,-11.026498794555664,-11.026498794555664,0.0,184.39999389648438,184.39999389648438,184.39999389648438,0.0,0.0,0.0,374,30000,0.02835886569339782,-0.0084091360805463,0.45507565058767796,0.4094149794340134,1.0452217818260192,244.76224160194397,122
-18.914592742919922,-18.914592742919922,-18.914592742919922,0.0,184.85000610351562,184.85000610351562,184.85000610351562,0.0,0.0,0.0,499,40000,0.020581857000105085,-0.0057395502655650365,0.22103423711359502,0.4090011137008667,1.045774624490738,327.8346381187439,122
-26.13241195678711,-26.13241195678711,-26.13241195678711,0.0,151.10000610351562,151.10000610351562,151.10000610351562,0.0,0.0,0.0,624,50000,0.01643676121579483,-0.0033311044216480738,0.2750707350105047,0.40879245424270627,1.0457616062164308,408.5830149650574,122
-30.453166961669922,-30.453166961669922,-30.453166961669922,0.0,180.25,180.25,180.25,0.0,0.0,0.0,749,60000,0.013390539840329438,-0.0038719541521940676,0.13718918569907546,0.40791506679058076,1.045526896715164,491.1346261501312,122
-62.85872268676758,-62.85872268676758,-62.85872268676758,0.0,331.3500061035156,331.3500061035156,331.3500061035156,0.0,0.0,0.0,874,70000,0.014959101422224194,-0.00436570390247854,0.12465551960989833,0.40748663671016694,1.0456024861335755,573.2871129512787,122
-75.23096466064453,-75.23096466064453,-75.23096466064453,0.0,373.1499938964844,373.1499938964844,373.1499938964844,0.0,0.0,0.0,999,80000,0.017792549337167292,-0.006104178665212862,0.15454505836963653,0.4072391068935394,1.0456423386096954,656.4313027858734,121
-76.22380065917969,-76.22380065917969,-76.22380065917969,0.0,378.29998779296875,378.29998779296875,378.29998779296875,0.0,0.0,0.0,1124,90000,0.012219314196240156,-0.00452111900222312,0.15676675503253937,0.40684513545036316,1.0455075243473053,739.0222787857056,121
-52.28424072265625,-52.28424072265625,-52.28424072265625,0.0,278.1499938964844,278.1499938964844,278.1499938964844,0.0,0.0,0.0,1249,100000,0.013648305433616042,-0.0036520335083529373,0.1205238262526691,0.406724263715744,1.0455482493400574,821.4174990653992,121
-65.45957946777344,-65.45957946777344,-65.45957946777344,0.0,338.6499938964844,338.6499938964844,338.6499938964844,0.0,0.0,0.0,1374,110000,0.009788212475180627,-0.004570034787945896,0.1138550168812275,0.4066428104639053,1.0457680275440215,905.7920200824738,121
-85.43589782714844,-85.43589782714844,-85.43589782714844,0.0,404.1499938964844,404.1499938964844,404.1499938964844,0.0,0.0,0.0,1499,120000,0.014271299639297649,-0.0038741840028879123,0.11099995367899537,0.4065127300262451,1.045914971923828,987.6880939006805,121
-6.001601219177246,-6.001601219177246,-6.001601219177246,0.0,94.30000305175781,94.30000305175781,94.30000305175781,0.0,0.0,0.0,1624,130000,0.006608641923870891,-0.002899915111008609,0.07892213698625565,0.4058900702238083,1.0454890224456788,1070.7286398410797,121
-4.365206718444824,-4.365206718444824,-4.365206718444824,0.0,108.6500015258789,108.6500015258789,108.6500015258789,0.0,0.0,0.0,1749,140000,0.006914355963468552,-0.0034569921561871638,0.05253050544373691,0.4056677411079407,1.0452160247802735,1153.8513934612274,121
-3.9704113006591797,-3.9704113006591797,-3.9704113006591797,0.0,72.44999694824219,72.44999694824219,72.44999694824219,0.0,0.0,0.0,1874,150000,0.004094979883404449,-0.003571003872010123,0.037375709196552635,0.4050555321931839,1.0457390992641449,1237.2030589580536,121
-1.5699964761734009,-1.5699964761734009,-1.5699964761734009,0.0,71.0,71.0,71.0,0.0,0.0,0.0,1999,160000,0.004274286162061617,-0.005523467899862445,0.026659442239627244,0.4047823165178299,1.0453883644580841,1321.8618409633636,121
-14.501386642456055,-14.501386642456055,-14.501386642456055,0.0,107.94999694824219,107.94999694824219,107.94999694824219,0.0,0.0,0.0,2124,170000,0.0064847636067541315,-0.004967518869630894,0.043811444874852896,0.4044161589384079,1.0456958307743072,1406.4335720539093,120
-6.574395656585693,-6.574395656585693,-6.574395656585693,0.0,153.39999389648438,153.39999389648438,153.39999389648438,0.0,0.0,0.0,2249,180000,0.022586479684896767,-0.005785636409706674,0.0989198863349855,0.4038282485485077,1.0459016797542573,1490.4639639854431,120
-1.7838451862335205,-1.7838451862335205,-1.7838451862335205,0.0,52.349998474121094,52.349998474121094,52.349998474121094,0.0,0.0,0.0,2374,190000,0.005107386239804328,-0.004475157019288635,0.0376953304450959,0.40338875210285186,1.0459021186828614,1572.314722776413,120
-10.824617385864258,-10.824617385864258,-10.824617385864258,0.0,87.8499984741211,87.8499984741211,87.8499984741211,0.0,0.0,0.0,2499,200000,0.007326938211079687,-0.003922496031351165,0.0350173534873873,0.40290060205459594,1.0455274470329285,1655.5795969963074,120
-13.803304672241211,-13.803304672241211,-13.803304672241211,0.0,116.5999984741211,116.5999984741211,116.5999984741211,0.0,0.0,0.0,2624,210000,0.006558900416828692,-0.003137680637576281,0.03242788366633467,0.40331039695739745,1.0456664560317994,1739.290387392044,120
13.697425842285156,13.697425842285156,13.697425842285156,0.0,53.45000076293945,53.45000076293945,53.45000076293945,0.0,0.0,0.0,2749,220000,0.007659592274599708,-0.0028948997315956394,0.05208658757060766,0.40250571067333224,1.0459476982593536,1821.9258201122284,120
4.122941017150879,4.122941017150879,4.122941017150879,0.0,69.75,69.75,69.75,0.0,0.0,0.0,2874,230000,0.02614128104536794,-0.0030567599647754714,0.07611496193464845,0.40154774284362793,1.045405026435852,1904.6085863113403,120
6.238327980041504,6.238327980041504,6.238327980041504,0.0,26.25,26.25,26.25,0.0,0.0,0.0,2999,240000,0.004666027282830327,-0.002848447400594022,0.04649520750492811,0.4012615162611008,1.0456103942394257,1987.9710083007812,120
-21.019624710083008,-21.019624710083008,-21.019624710083008,0.0,140.89999389648438,140.89999389648438,140.89999389648438,0.0,0.0,0.0,3124,250000,0.016847092027869076,-0.002819107599572193,0.05110505487732589,0.400422497177124,1.0455759886741638,2070.6290464401245,120
-82.15371704101562,-82.15371704101562,-82.15371704101562,0.0,386.70001220703125,386.70001220703125,386.70001220703125,0.0,0.0,0.0,3249,260000,0.01253418361544609,-0.003074114474981971,0.1376304186306894,0.40011971364021304,1.045824905872345,2154.214909553528,120
-49.4444465637207,-49.4444465637207,-49.4444465637207,0.0,270.79998779296875,270.79998779296875,270.79998779296875,0.0,0.0,0.0,3374,270000,0.01922268814202398,-0.002729941305971738,0.1391417045943439,0.39932732236385343,1.0460057166099548,2237.8541383743286,120
-78.14408111572266,-78.14408111572266,-78.14408111572266,0.0,390.75,390.75,390.75,0.0,0.0,0.0,3499,280000,0.015329706963524222,-0.003005025546863925,0.08661612828075886,0.39823927478790283,1.045759745311737,2321.658346414566,120
-7.484501838684082,-7.484501838684082,-7.484501838684082,0.0,79.19999694824219,79.19999694824219,79.19999694824219,0.0,0.0,0.0,3624,290000,0.005020031455578283,-0.0031083001807151118,0.04798020186834037,0.3972572642803192,1.0454766639232635,2406.1982686519623,120
10.527376174926758,10.527376174926758,10.527376174926758,0.0,64.80000305175781,64.80000305175781,64.80000305175781,0.0,0.0,0.0,3749,300000,0.008516242476273328,-0.0027837224692380752,0.039598499802686274,0.3970071782112122,1.0456039566993713,2490.131819486618,120
3.2399399280548096,3.2399399280548096,3.2399399280548096,0.0,61.95000076293945,61.95000076293945,61.95000076293945,0.0,0.0,0.0,3874,310000,0.006818006252637133,-0.0026699020601564593,0.027200959355290977,0.39712354917526244,1.0457795063495636,2573.581528902054,120
-4.859191417694092,-4.859191417694092,-4.859191417694092,0.0,99.44999694824219,99.44999694824219,99.44999694824219,0.0,0.0,0.0,3999,320000,0.008660968725755811,-0.0024027605276981294,0.061784922540932895,0.39702975261211393,1.0458742915630341,2657.620183944702,120
-12.448972702026367,-12.448972702026367,-12.448972702026367,0.0,73.9000015258789,73.9000015258789,73.9000015258789,0.0,0.0,0.0,4124,330000,0.007710703853424638,-0.002753218800951081,0.04370344145074487,0.3964359001159668,1.0460180326938628,2740.0983510017395,120
-11.701997756958008,-11.701997756958008,-11.701997756958008,0.0,98.75,98.75,98.75,0.0,0.0,0.0,4249,340000,0.00626434550434351,-0.002723607062298288,0.054084745351225136,0.396146205830574,1.0461507002353667,2823.196652173996,120
-15.53375244140625,-15.53375244140625,-15.53375244140625,0.0,95.80000305175781,95.80000305175781,95.80000305175781,0.0,0.0,0.0,4374,350000,0.010177306670695543,-0.0027972416192281664,0.0486607469163835,0.395659228849411,1.0457157747745514,2905.6688311100006,120
8.015786170959473,8.015786170959473,8.015786170959473,0.0,31.350000381469727,31.350000381469727,31.350000381469727,0.0,0.0,0.0,4499,360000,0.005432793958671391,-0.0026711187475914468,0.04905778326764703,0.3946689797401428,1.0459615091323853,2992.539505958557,120
