Metrics/EpRet,Metrics/EpRet/Min,Metrics/EpRet/Max,Metrics/EpRet/Std,Metrics/EpCost,Metrics/EpCost/Min,Metrics/EpCost/Max,Metrics/EpCost/Std,Eval/EpRet,Eval/EpCost,Train/Epoch,Train/TotalSteps,Loss/Loss_reward_critic,Loss/Loss_actor,Misc/Reward_critic_norm,Misc/Entropy,Misc/Ratio,Time/Total,Time/FPS
-222.64028930664062,-222.64028930664062,-222.64028930664062,0.0,342.4750061035156,342.4750061035156,342.4750061035156,0.0,0.0,0.0,124,20000,0.1384242290833965,-0.003757127910372092,1.1602472958028316,0.41202928814888,1.0457949083805085,98.07995533943176,203
-138.16941833496094,-138.16941833496094,-138.16941833496094,0.0,359.5,359.5,359.5,0.0,0.0,0.0,249,40000,0.00939079816956073,-0.002884305671595433,0.3334956438571215,0.41129863257408145,1.0459079210281372,197.61927247047424,202
-63.0566520690918,-63.0566520690918,-63.0566520690918,0.0,80.0250015258789,80.0250015258789,80.0250015258789,0.0,0.0,0.0,374,60000,0.0029898783748736604,-0.0033360906379867926,0.06551846662461758,0.41076354970932005,1.0457422250270842,296.5481171607971,202
-64.3687744140625,-64.3687744140625,-64.3687744140625,0.0,190.0749969482422,190.0749969482422,190.0749969482422,0.0,0.0,0.0,499,80000,0.003628372986218892,-0.003381916386724905,0.055027136910893025,0.41024403903484347,1.0455638828754426,395.2847237586975,202
-45.11176300048828,-45.11176300048828,-45.11176300048828,0.0,144.85000610351562,144.85000610351562,144.85000610351562,0.0,0.0,0.0,624,100000,0.005954801482893526,-0.0031901566968700764,0.038269726886413995,0.40960552752017976,1.0457110208034515,491.3615417480469,203
-64.53816223144531,-64.53816223144531,-64.53816223144531,0.0,196.35000610351562,196.35000610351562,196.35000610351562,0.0,0.0,0.0,749,120000,0.003814179074205458,-0.002427118972009049,0.042928844526037575,0.4092347228050232,1.0458877619743348,587.6012876033783,204
-47.9919548034668,-47.9919548034668,-47.9919548034668,0.0,167.35000610351562,167.35000610351562,167.35000610351562,0.0,0.0,0.0,874,140000,0.0040684401526115835,-0.0021675616112899,0.041793663561530414,0.40871733465194704,1.045759748840332,684.5092923641205,204
-41.15114212036133,-41.15114212036133,-41.15114212036133,0.0,157.625,157.625,157.625,0.0,0.0,0.0,999,160000,0.004180805854452774,-0.0019010223572074032,0.08026152518633753,0.4084520787000656,1.0456468999862671,781.3740184307098,204
-48.0190544128418,-48.0190544128418,-48.0190544128418,0.0,121.82499694824219,121.82499694824219,121.82499694824219,0.0,0.0,0.0,1124,180000,0.005452393395081162,-0.0022634210313219353,0.0754696292746812,0.4077961464166641,1.0456684788227082,879.2628154754639,204
-51.88758087158203,-51.88758087158203,-51.88758087158203,0.0,154.125,154.125,154.125,0.0,0.0,0.0,1249,200000,0.006430989098921419,-0.0022112974821191737,0.03479350254959427,0.40731930947303774,1.0456666039943696,975.5076639652252,205
-75.2332992553711,-75.2332992553711,-75.2332992553711,0.0,219.1750030517578,219.1750030517578,219.1750030517578,0.0,0.0,0.0,1374,220000,0.017132761744968594,-0.002039120163410488,0.04731132084694691,0.40761726405620574,1.0456568131923676,1071.7268018722534,205
-65.6584701538086,-65.6584701538086,-65.6584701538086,0.0,192.0500030517578,192.0500030517578,192.0500030517578,0.0,0.0,0.0,1499,240000,0.013782559075951576,-0.001896857326160544,0.049231973821809515,0.4077232297182083,1.0458314101219177,1167.916766166687,205
