Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/TotalSteps,Train/StopIter,Train/KL,Train/LR,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv
0.023735315974433766,0.0,988.9733043085656,1,20000,40,0.015552062541246414,0.00029939999999999996,0.003526092311289286,0.0026033589409018222,-0.017599131064801907,109.10485816001892,124.1098575592041,233.21472573280334,-1.8692016823251834e-08,-9.536742923144104e-11
0.2816874400346333,0.0,930.8110091970043,2,40000,25,0.021676352247595787,0.00029879999999999994,0.004050788442491176,0.000724109125873312,-0.01359295530250659,122.79662871360779,77.0385959148407,199.83522844314575,1.3732909920349812e-08,1.9073485846288207e-10
0.7412781718830493,0.0,804.248477229981,3,60000,40,0.01949540339410305,0.00029819999999999993,0.007183985972002271,0.00044567194748374177,-0.014901723467801421,140.53798580169678,147.54457235336304,288.0825614929199,1.0681151962899094e-08,-1.0907649228286687e-09
1.1234200850569966,0.0,653.1026666666666,4,80000,33,0.02013791725039482,0.0002975999999999999,0.005707254372795912,0.0002143467225161355,-0.017093783892557328,194.03366255760193,137.34799075126648,331.3816571235657,2.2888183792701966e-08,-8.493661329822544e-11
1.2146738387527038,0.0,655.9446666666666,5,100000,40,0.016471954062581062,0.0002969999999999999,0.0048541695182100116,0.00010400327116139133,-0.01709624877963483,194.41081476211548,165.9897861480713,360.40060329437256,-3.051757735406113e-09,-2.503394991304475e-10
1.2559932861685652,0.0,645.22375,6,120000,27,0.020109063014388084,0.0002963999999999999,0.005080180186619615,1.9424459827188142e-05,-0.019317101454472477,200.06489968299866,112.50969457626343,312.5745973587036,3.051757735406113e-09,-7.361173337550042e-10
1.2701662512197116,0.0,625.00875,7,140000,31,0.020503273233771324,0.00029579999999999987,0.004595460260450482,9.628577889497077e-06,-0.021270036595597775,201.0342059135437,126.75370144844055,327.7879128456116,-3.051757735406113e-09,-1.0609626510671433e-09
1.424919522864421,0.0,542.4449999999999,8,160000,24,0.020004384219646454,0.0002951999999999999,0.005162162968190387,1.0398522434698717e-05,-0.020264097515699932,232.95090627670288,102.28912281990051,335.2400324344635,9.918212917625624e-09,-5.658715718226404e-10
1.589820958767703,0.0,466.2151219512195,9,180000,36,0.020499389618635178,0.0002945999999999999,0.004080224202755398,5.646967864432943e-06,-0.02213343484342901,222.21262741088867,144.65168166160583,366.8643128871918,-1.5258788677030566e-09,1.4603138143165495e-10
1.494628783114211,0.0,475.64523809523814,10,200000,31,0.020264968276023865,0.0002939999999999999,0.004427955533175974,4.2111989238445656e-06,-0.022299055072373272,224.73612666130066,131.76341485977173,356.4995472431183,-1.2207030941624453e-08,2.518296127185238e-10
1.6539649272400978,0.0,462.93636363636364,11,220000,25,0.022750545293092728,0.00029339999999999987,0.004314555619269038,2.9274534184266193e-06,-0.022351049126241914,234.9463086128235,101.59369611740112,336.5400094985962,4.577636492086867e-09,-3.9190053979787365e-10
