Metrics/EpRet,Metrics/EpRet/Min,Metrics/EpRet/Max,Metrics/EpRet/Std,Metrics/EpCost,Metrics/EpCost/Min,Metrics/EpCost/Max,Metrics/EpCost/Std,Eval/EpRet,Eval/EpCost,Train/Epoch,Train/TotalSteps,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Misc/Reward_critic_norm,Misc/Cost_critic_norm,Misc/Entropy,Misc/Ratio,Time/Total,Time/FPS
-0.03045368567109108,-0.03045368567109108,-0.03045368567109108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10000,0.04614488082006574,0.00018595225268427384,-0.0059671330847777425,0.05202055480331182,0.11899909358471632,0.8254660844802857,0.9990280151367188,56.26976943016052,177
-6.616768836975098,-6.616768836975098,-6.616768836975098,0.0,58.099998474121094,58.099998474121094,58.099998474121094,0.0,0.0,0.0,1,20000,0.13749851156026124,4.055437541007995,-0.0033517241071537194,0.9161642983555793,3.472651648521423,0.8262603163719178,0.9994914352893829,125.02732467651367,159
-9.569018363952637,-9.569018363952637,-9.569018363952637,0.0,81.3499984741211,81.3499984741211,81.3499984741211,0.0,0.0,0.0,2,30000,0.020381035376340152,1.8193645179271698,-0.002142248573675751,0.3853402093052864,3.184940904378891,0.8269531488418579,0.9996561944484711,189.9884569644928,157
-9.91197395324707,-9.91197395324707,-9.91197395324707,0.0,95.0,95.0,95.0,0.0,0.0,0.0,3,40000,0.02226714133284986,1.9913748145103454,-0.0023400517060980343,0.40620626844465735,3.643166622519493,0.8273121774196625,0.9995118975639343,249.53507328033447,160
-10.917787551879883,-10.917787551879883,-10.917787551879883,0.0,107.0,107.0,107.0,0.0,0.0,0.0,4,50000,0.015595293324440717,1.4687242686748505,-0.0019194909240491497,0.25606022886931895,3.21374791264534,0.8275530695915222,0.9999878823757171,311.85769486427307,160
-0.8486306071281433,-0.8486306071281433,-0.8486306071281433,0.0,9.850000381469727,9.850000381469727,9.850000381469727,0.0,0.0,0.0,5,60000,0.0019365408923476934,0.12672781869769095,-0.002369600699064378,0.22019138932228088,1.8725995540618896,0.8277773916721344,1.0000318884849548,387.2286047935486,154
-8.007617950439453,-8.007617950439453,-8.007617950439453,0.0,78.0,78.0,78.0,0.0,0.0,0.0,6,70000,0.009997037891298532,0.9334835886955262,0.0002807774504652194,0.16663695350289345,1.5075836464762689,0.828002804517746,0.9995734035968781,459.2828140258789,152
-5.71256160736084,-5.71256160736084,-5.71256160736084,0.0,57.45000076293945,57.45000076293945,57.45000076293945,0.0,0.0,0.0,7,80000,0.008072788431309163,0.7723565876483918,-0.00039124243796804235,0.12814417183399202,1.634039431810379,0.8282597959041595,1.000152939558029,525.7521715164185,152
-1.442155122756958,-1.442155122756958,-1.442155122756958,0.0,17.299999237060547,17.299999237060547,17.299999237060547,0.0,0.0,0.0,8,90000,0.0021677890559658407,0.20391455739736558,-0.0017824059092381717,0.12417716421186924,1.7504541277885437,0.8284193992614746,0.9996224224567414,587.3827767372131,153
-1.0104870796203613,-1.0104870796203613,-1.0104870796203613,0.0,11.399999618530273,11.399999618530273,11.399999618530273,0.0,0.0,0.0,9,100000,0.0018545975355664269,0.18032124349847437,-0.0024267135987523503,0.11700439490377904,1.554453444480896,0.8281797051429749,0.9999168336391449,650.9074385166168,153
-2.0598349571228027,-2.0598349571228027,-2.0598349571228027,0.0,20.5,20.5,20.5,0.0,0.0,0.0,10,110000,0.002347661374369636,0.2240005239844322,-0.00189126364523986,0.0937157154083252,0.949871376156807,0.8276799857616425,0.999803215265274,713.8765466213226,154
-5.596038818359375,-5.596038818359375,-5.596038818359375,0.0,54.5,54.5,54.5,0.0,0.0,0.0,11,120000,0.006828366126865148,0.6679229319095612,-0.0030245740276482634,0.1000991404056549,1.1785591542720795,0.8274164438247681,1.0000593066215515,783.1029009819031,153
-9.94761848449707,-9.94761848449707,-9.94761848449707,0.0,101.25,101.25,101.25,0.0,0.0,0.0,12,130000,0.012520992476493121,1.2748001396656037,-0.0020689036212488965,0.2263458412140608,3.1066071569919584,0.8277830123901367,0.999295425415039,855.8761529922485,151
-8.75194263458252,-8.75194263458252,-8.75194263458252,0.0,88.94999694824219,88.94999694824219,88.94999694824219,0.0,0.0,0.0,13,140000,0.010174620617181062,1.017707458138466,-0.0006221564217803816,0.25863766092807056,3.587629270553589,0.8282620728015899,0.9996473848819732,918.4612016677856,152
-1.3391993045806885,-1.3391993045806885,-1.3391993045806885,0.0,6.150000095367432,6.150000095367432,6.150000095367432,0.0,0.0,0.0,14,150000,0.0012286149110877886,0.10821447372436524,-0.002766237666215776,0.24244911968708038,2.6087417125701906,0.8289454281330109,0.9987852931022644,979.8839869499207,153
-8.06974983215332,-8.06974983215332,-8.06974983215332,0.0,80.25,80.25,80.25,0.0,0.0,0.0,15,160000,0.009367699921131133,0.9161954402923584,-0.0018238049898529063,0.14781123604625462,1.4689734913408756,0.8300032317638397,1.0008041858673096,1048.9140226840973,152
-2.499241590499878,-2.499241590499878,-2.499241590499878,0.0,25.149999618530273,25.149999618530273,25.149999618530273,0.0,0.0,0.0,16,170000,0.0037188402871834113,0.3601196564733982,-0.0007774116887851789,0.13904544338583946,1.6624102279543878,0.8309060156345367,1.000251257419586,1115.9663774967194,152
-19.446430206298828,-19.446430206298828,-19.446430206298828,0.0,191.25,191.25,191.25,0.0,0.0,0.0,17,180000,0.017705641873180866,1.8475183725357056,-0.00040275806552730886,0.4040425196290016,6.393158769607544,0.831763619184494,1.0007922410964967,1183.7225794792175,152
-5.514974117279053,-5.514974117279053,-5.514974117279053,0.0,50.79999923706055,50.79999923706055,50.79999923706055,0.0,0.0,0.0,18,190000,0.006139023508876562,0.5498474687337875,2.8342512082346617e-05,0.2707247231155634,1.3368046492338181,0.8322835624217987,0.9998053550720215,1243.9590537548065,152
-10.6724853515625,-10.6724853515625,-10.6724853515625,0.0,103.6500015258789,103.6500015258789,103.6500015258789,0.0,0.0,0.0,19,200000,0.010091163218021393,0.9972664535045623,8.777920894322832e-05,0.1962184550240636,1.9634736225008964,0.8323387742042542,1.0004220843315124,1305.1828348636627,153
-7.87328577041626,-7.87328577041626,-7.87328577041626,0.0,74.6500015258789,74.6500015258789,74.6500015258789,0.0,0.0,0.0,20,210000,0.005621746352699119,0.5590449579060077,-0.0019027390188441017,0.17219693697988986,2.9670358419418337,0.8321453690528869,1.0004083275794984,1375.1089324951172,152
-2.1897923946380615,-2.1897923946380615,-2.1897923946380615,0.0,22.75,22.75,22.75,0.0,0.0,0.0,21,220000,0.002239280361391138,0.22285037487745285,-0.003955926322564096,0.19936380349099636,2.6366811394691467,0.8316752076148987,1.0000780045986175,1445.0073385238647,152
-1.91249680519104,-1.91249680519104,-1.91249680519104,0.0,20.0,20.0,20.0,0.0,0.0,0.0,22,230000,0.0017143400356872008,0.16993890656158328,-0.004536054960973601,0.1384257648140192,2.1154993534088136,0.831288754940033,1.0001721620559691,1511.2596309185028,152
-1.9971983432769775,-1.9971983432769775,-1.9971983432769775,0.0,15.350000381469727,15.350000381469727,15.350000381469727,0.0,0.0,0.0,23,240000,0.0013989244936965406,0.1463915415108204,-0.002492792223354279,0.07880575382150709,1.702777673304081,0.8311111927032471,0.999352490901947,1570.7370550632477,152
-5.178319931030273,-5.178319931030273,-5.178319931030273,0.0,54.04999923706055,54.04999923706055,54.04999923706055,0.0,0.0,0.0,24,250000,0.00591573822312057,0.6001541197299958,-0.001860975352623484,0.15421016290783882,2.355786556005478,0.8308768928050995,1.0003076493740082,1626.4866087436676,153
-1.5205776691436768,-1.5205776691436768,-1.5205776691436768,0.0,16.399999618530273,16.399999618530273,16.399999618530273,0.0,0.0,0.0,25,260000,0.0013499309025064576,0.1373408341780305,7.483427564149991e-05,0.08546480424702167,1.3958289839327336,0.8307175815105439,1.0004966139793396,1696.6633603572845,153
-7.635749816894531,-7.635749816894531,-7.635749816894531,0.0,74.5999984741211,74.5999984741211,74.5999984741211,0.0,0.0,0.0,26,270000,0.006023549195379019,0.603205144405365,-0.0018468829562049206,0.11041930774226785,1.4014567375183105,0.8310191810131073,0.9997443616390228,1765.044173002243,152
-4.353999137878418,-4.353999137878418,-4.353999137878418,0.0,43.849998474121094,43.849998474121094,43.849998474121094,0.0,0.0,0.0,27,280000,0.004193704063072801,0.4098550617694855,-0.002008750590486441,0.07111317347735166,0.3032625839114189,0.8313054919242859,0.9999693393707275,1842.4619374275208,151
-12.666705131530762,-12.666705131530762,-12.666705131530762,0.0,128.75,128.75,128.75,0.0,0.0,0.0,28,290000,0.011652289377525448,1.19355548620224,-0.00045344475823458905,0.24187751356512308,3.7386997282505035,0.8313614070415497,1.00040522813797,1909.9169771671295,151
-7.8474225997924805,-7.8474225997924805,-7.8474225997924805,0.0,81.9000015258789,81.9000015258789,81.9000015258789,0.0,0.0,0.0,29,300000,0.006902315001934767,0.6710675001144409,-0.002624211172168156,0.1151383625343442,1.0368513487279416,0.8313452482223511,0.9999707996845245,1968.6658682823181,152
-7.786938667297363,-7.786938667297363,-7.786938667297363,0.0,78.1500015258789,78.1500015258789,78.1500015258789,0.0,0.0,0.0,30,310000,0.007584007713012398,0.7455647617578507,-0.0013803824138632237,0.1177275788038969,1.7842222273349762,0.8316819310188294,0.9998818635940552,2029.2768995761871,152
-4.762077808380127,-4.762077808380127,-4.762077808380127,0.0,48.900001525878906,48.900001525878906,48.900001525878906,0.0,0.0,0.0,31,320000,0.0049913717899471525,0.48434030562639235,-0.000849602879839928,0.10762547850608825,1.1970903173089027,0.8324989378452301,0.9995641469955444,2089.427740573883,153
-6.908228874206543,-6.908228874206543,-6.908228874206543,0.0,64.0999984741211,64.0999984741211,64.0999984741211,0.0,0.0,0.0,32,330000,0.005518200295045972,0.5340670615434646,0.00037767028750383956,0.10220088753849269,1.0385125696659088,0.8332059562206269,1.0000162363052367,2161.6845095157623,152
-2.7195725440979004,-2.7195725440979004,-2.7195725440979004,0.0,27.600000381469727,27.600000381469727,27.600000381469727,0.0,0.0,0.0,33,340000,0.0022338712238706647,0.22392165213823317,-0.00018930970381489943,0.11682657636702061,1.6576151251792908,0.8337471783161163,1.000479519367218,2230.216126680374,152
-1.3489437103271484,-1.3489437103271484,-1.3489437103271484,0.0,9.350000381469727,9.350000381469727,9.350000381469727,0.0,0.0,0.0,34,350000,0.000891125385533087,0.09411674495786429,-0.0019639454456232388,0.1295256707817316,2.01534908413887,0.8343567430973053,1.000652050971985,2288.503695011139,152
-5.284296989440918,-5.284296989440918,-5.284296989440918,0.0,51.04999923706055,51.04999923706055,51.04999923706055,0.0,0.0,0.0,35,360000,0.004387639393098652,0.43108574450016024,-0.0021302164479390486,0.04737315066158772,0.7498056776821613,0.8349948763847351,0.9997577607631684,2347.49627661705,153
-6.870521545410156,-6.870521545410156,-6.870521545410156,0.0,66.3499984741211,66.3499984741211,66.3499984741211,0.0,0.0,0.0,36,370000,0.0050841432996094225,0.5132140189409256,-0.0023291570388059846,0.0645482604391873,0.91485855281353,0.8355125486850739,1.0003321409225463,2406.9176812171936,153
-6.608567237854004,-6.608567237854004,-6.608567237854004,0.0,66.3499984741211,66.3499984741211,66.3499984741211,0.0,0.0,0.0,37,380000,0.0051530810538679365,0.5153110921382904,-0.0007725057539273549,0.06955865994095803,1.0139932706952095,0.8360130250453949,0.9993010282516479,2470.6385283470154,153
-2.116554021835327,-2.116554021835327,-2.116554021835327,0.0,21.149999618530273,21.149999618530273,21.149999618530273,0.0,0.0,0.0,38,390000,0.0016644746414385737,0.16524028219282627,-0.000553250036965025,0.09916105954907835,1.462050634622574,0.8366765439510345,1.0000860333442687,2535.76864862442,153
-6.357402324676514,-6.357402324676514,-6.357402324676514,0.0,61.95000076293945,61.95000076293945,61.95000076293945,0.0,0.0,0.0,39,400000,0.00507846144028008,0.5056984513998032,-0.0027363721771910708,0.07166852466762066,0.6555305600166321,0.8371365010738373,0.9996758282184601,2602.5939490795135,153
-9.231653213500977,-9.231653213500977,-9.231653213500977,0.0,92.69999694824219,92.69999694824219,92.69999694824219,0.0,0.0,0.0,40,410000,0.005953634378965944,0.610706277191639,-0.00013032231924587913,0.14903178615495563,2.415166586637497,0.8377512037754059,0.9998958885669709,2660.9847898483276,154
-3.6938087940216064,-3.6938087940216064,-3.6938087940216064,0.0,37.45000076293945,37.45000076293945,37.45000076293945,0.0,0.0,0.0,41,420000,0.002724798451527022,0.2579666659235954,-0.0006220049166365093,0.09858935019001365,0.9881901472806931,0.8385533273220063,0.9991933465003967,2725.072030067444,154
-5.676775932312012,-5.676775932312012,-5.676775932312012,0.0,55.04999923706055,55.04999923706055,55.04999923706055,0.0,0.0,0.0,42,430000,0.004944070987403393,0.4806099683046341,-0.003499917920194573,0.10380065087229014,1.190151333808899,0.8392968595027923,0.9998571038246155,2791.2716007232666,154
-2.2422585487365723,-2.2422585487365723,-2.2422585487365723,0.0,23.450000762939453,23.450000762939453,23.450000762939453,0.0,0.0,0.0,43,440000,0.0023830975289456545,0.2429279640316963,-0.0007516886018821723,0.09159483015537262,1.4281584411859511,0.8398717761039733,1.0000347316265106,2854.4717965126038,154
-8.10300350189209,-8.10300350189209,-8.10300350189209,0.0,82.19999694824219,82.19999694824219,82.19999694824219,0.0,0.0,0.0,44,450000,0.005316219758242369,0.5337160877883435,-0.0008541405778878825,0.1567449726164341,2.287922590970993,0.8404262006282807,0.9999864339828491,2914.3747067451477,154
-6.584800720214844,-6.584800720214844,-6.584800720214844,0.0,62.650001525878906,62.650001525878906,62.650001525878906,0.0,0.0,0.0,45,460000,0.005066704377532006,0.4967434793710709,-0.0027789071420579957,0.1085949931293726,0.6667718581855298,0.8412377417087555,1.0000232696533202,2973.0211260318756,154
-4.4135026931762695,-4.4135026931762695,-4.4135026931762695,0.0,39.04999923706055,39.04999923706055,39.04999923706055,0.0,0.0,0.0,46,470000,0.0033970094751566648,0.32944875955581665,-0.0021479634112864686,0.0655113766901195,0.876708372682333,0.8417518675327301,0.9994557738304138,3031.185536146164,155
-4.185835838317871,-4.185835838317871,-4.185835838317871,0.0,40.0,40.0,40.0,0.0,0.0,0.0,47,480000,0.002551775596657535,0.24718451239168643,-0.0019767414427176,0.061005898658186196,0.748525147140026,0.8422155141830444,1.0000366806983947,3095.9103746414185,155
