Metrics/EpRet,Metrics/EpRet/Min,Metrics/EpRet/Max,Metrics/EpRet/Std,Metrics/EpCost,Metrics/EpCost/Min,Metrics/EpCost/Max,Metrics/EpCost/Std,Eval/EpRet,Eval/EpCost,Train/Epoch,Train/TotalSteps,Loss/Loss_reward_critic,Loss/Loss_actor,Misc/Reward_critic_norm,Misc/Entropy,Misc/Ratio,Time/Total,Time/FPS
-76.85861206054688,-76.85861206054688,-76.85861206054688,0.0,214.375,214.375,214.375,0.0,0.0,0.0,124,20000,0.47966857092902065,-0.00944622224573803,2.515979992480576,0.41236219062805174,1.0005020537853242,78.5242326259613,254
-326.47711181640625,-326.47711181640625,-326.47711181640625,0.0,472.375,472.375,472.375,0.0,0.0,0.0,249,40000,0.06500794068928809,-0.009368350723509162,1.2985275509433356,0.41163829131126406,1.00030604596138,154.76891493797302,258
-207.04745483398438,-207.04745483398438,-207.04745483398438,0.0,554.5250244140625,554.5250244140625,554.5250244140625,0.0,0.0,0.0,374,60000,0.03075568400397897,-0.009246110344353381,0.6996704100862146,0.4097598435640335,0.9998394636631012,229.71174788475037,261
-39.21723937988281,-39.21723937988281,-39.21723937988281,0.0,223.10000610351562,223.10000610351562,223.10000610351562,0.0,0.0,0.0,499,80000,0.04655073452997022,-0.009428530754591428,0.38956027328372,0.40857085015773775,0.9995842036247253,305.5806441307068,261
-50.529823303222656,-50.529823303222656,-50.529823303222656,0.0,185.02499389648438,185.02499389648438,185.02499389648438,0.0,0.0,0.0,624,100000,0.013902407301403583,-0.008580171872611021,0.16257169366702437,0.40782989127635955,0.999943138551712,382.2647895812988,261
-260.6727294921875,-260.6727294921875,-260.6727294921875,0.0,617.9249877929688,617.9249877929688,617.9249877929688,0.0,0.0,0.0,749,120000,0.030257382397854235,-0.009734772987792394,0.431493406163156,0.40762326986789704,0.9997244291305541,458.4202558994293,261
-243.9217529296875,-243.9217529296875,-243.9217529296875,0.0,473.92498779296875,473.92498779296875,473.92498779296875,0.0,0.0,0.0,874,140000,0.02908445112418849,-0.008092775256233233,0.3501712022708729,0.40726030385494233,0.9997272633552551,534.1681561470032,262
-37.667964935302734,-37.667964935302734,-37.667964935302734,0.0,116.69999694824219,116.69999694824219,116.69999694824219,0.0,0.0,0.0,999,160000,0.0027879372856696137,-0.006253622150628944,0.08057657367140054,0.4073368052005768,0.9997025393962861,612.8537888526917,261
-70.55274963378906,-70.55274963378906,-70.55274963378906,0.0,241.60000610351562,241.60000610351562,241.60000610351562,0.0,0.0,0.0,1124,180000,0.01189616566245677,-0.007553476769433189,0.11912955557126552,0.40654899067878725,0.9994155883789062,689.695431470871,260
-159.84597778320312,-159.84597778320312,-159.84597778320312,0.0,321.2250061035156,321.2250061035156,321.2250061035156,0.0,0.0,0.0,1249,200000,0.027916605441796128,-0.007670968816699174,0.20267004800280555,0.4063943773508072,0.9998016936302185,766.795485496521,260
