Metrics/EpRet,Metrics/EpRet/Min,Metrics/EpRet/Max,Metrics/EpRet/Std,Metrics/EpCost,Metrics/EpCost/Min,Metrics/EpCost/Max,Metrics/EpCost/Std,Eval/EpRet,Eval/EpCost,Train/Epoch,Train/TotalSteps,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor_improve,Loss/Loss_actor_expected_improve,Misc/Reward_critic_norm,Misc/Cost_critic_norm,Misc/Entropy,Misc/Ratio,Misc/KL,Time/Total,Time/FPS
-1.2130210399627686,-1.2130210399627686,-1.2130210399627686,0.0,11.199999809265137,11.199999809265137,11.199999809265137,0.0,0.0,0.0,0,10000,0.2647470058873296,-2.3905562557047233e-05,-0.002062313607893884,-0.020644360221922398,0.09652409330010414,0.565374334808439,0.4126475155353546,0.9999972283840179,-0.00038105915882624686,73.59330940246582,135
-11.09199333190918,-11.09199333190918,-11.09199333190918,0.0,110.9000015258789,110.9000015258789,110.9000015258789,0.0,0.0,0.0,1,20000,1.1732592964544892,-8.325533641029281e-05,-0.0010928677511401474,-0.010938331950455904,3.2935759723186493,3.130882441997528,0.41277875006198883,1.0000681579113007,-0.0004377748555270955,145.75922441482544,137
-6.755663871765137,-6.755663871765137,-6.755663871765137,0.0,66.75,66.75,66.75,0.0,0.0,0.0,2,30000,0.011372060049325228,-7.706227474812977e-05,-0.0009928889921866357,-0.009901989251375198,0.5088109076023102,1.5219013392925262,0.4129151999950409,1.0000098645687103,-0.00045476004015654325,214.29308199882507,139
-2.371582508087158,-2.371582508087158,-2.371582508087158,0.0,24.649999618530273,24.649999618530273,24.649999618530273,0.0,0.0,0.0,3,40000,0.04634429793804884,1.548461894573805e-05,-0.0008876955544110388,-0.008888032287359238,0.9809748530387878,2.8382999897003174,0.4128878116607666,1.0000865161418915,0.00019892353884642944,290.1054255962372,137
-6.442471981048584,-6.442471981048584,-6.442471981048584,0.0,64.25,64.25,64.25,0.0,0.0,0.0,4,50000,0.01250694808550179,2.6241588191311394e-05,-0.0013745183823630214,-0.0137286395765841,0.7789243161678314,0.4216822534799576,0.4130074232816696,1.0001388192176819,-0.00038839640183141455,370.2939748764038,135
-0.2751229405403137,-0.2751229405403137,-0.2751229405403137,0.0,2.6500000953674316,2.6500000953674316,2.6500000953674316,0.0,0.0,0.0,5,60000,0.007993074599653482,-0.00014686384838924482,-0.0006688004941679537,-0.006683270446956158,0.7471389770507812,2.2256400287151337,0.4131750017404556,1.0001136660575867,-0.0005819142825203016,448.96967458724976,133
-6.047172546386719,-6.047172546386719,-6.047172546386719,0.0,59.349998474121094,59.349998474121094,59.349998474121094,0.0,0.0,0.0,6,70000,0.006205777754075825,5.531215722420768e-05,-0.0013640063116326928,-0.013635525945574045,0.2816234827041626,0.5363578945398331,0.4130910038948059,1.000040978193283,0.0004248626937624067,516.3389790058136,135
-7.442381381988525,-7.442381381988525,-7.442381381988525,0.0,75.19999694824219,75.19999694824219,75.19999694824219,0.0,0.0,0.0,7,80000,0.00587581389117986,-0.00015332898802622452,-0.0001889999257400632,-0.00191224436275661,0.3306833356618881,1.1182188391685486,0.4130372107028961,1.0000452399253845,0.0003034416222362779,586.5562610626221,136
-5.496805191040039,-5.496805191040039,-5.496805191040039,0.0,54.54999923706055,54.54999923706055,54.54999923706055,0.0,0.0,0.0,8,90000,0.04347375803627074,-0.0006082134407945361,-0.001204792584758252,-0.01212985860183835,0.9280697405338287,3.3664770126342773,0.4129144549369812,1.0000102818012238,0.0005763434455730021,660.0611000061035,136
-0.12648794054985046,-0.12648794054985046,-0.12648794054985046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,100000,0.0023058869410306215,-0.0005824249948389593,0.0002825925621436909,0.002797412918880582,0.3344319984316826,2.00806987285614,0.4128861278295517,1.0000721216201782,0.00020311796106398106,741.0471303462982,134
